time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
3010.0000 -0.0559 -0.1312 -0.1234 2.6598 2.7131 2.6083
3020.0000 -0.0897 -0.0376 -0.1514 2.8854 2.8110 2.6158
3030.0000 -0.1761 0.0667 0.0113 2.7373 2.8385 2.7439
3040.0000 -0.2447 -0.0945 0.0562 2.7304 2.7544 2.7829
3050.0000 -0.1935 -0.1292 -0.1479 2.7643 2.5992 2.7769
3060.0000 -0.1398 -0.1428 -0.1682 2.7867 2.7225 2.6700
3070.0000 0.0503 -0.0040 -0.0414 2.5481 2.6697 2.6101
3080.0000 -0.0292 0.1113 0.0145 2.6768 2.8073 2.8071
3090.0000 0.2532 0.0829 0.0397 2.7559 2.8465 2.8463
3100.0000 0.2500 -0.0469 0.0745 2.6513 2.8705 2.9421
3110.0000 0.0891 -0.1465 -0.0758 2.6797 2.7582 2.8943
3120.0000 0.2228 0.0212 -0.1375 2.6860 2.5750 2.8477
3130.0000 0.0159 0.1333 0.0598 2.6989 2.6484 2.8491
3140.0000 0.1971 -0.1095 0.0133 2.7535 2.7487 2.7019
3150.0000 0.2829 -0.1493 0.3088 2.7581 2.7734 2.7043
3160.0000 -0.0765 -0.0551 0.0090 2.7322 2.7082 2.7253
3170.0000 -0.0848 0.0671 -0.0432 2.7314 2.8798 2.6746
3180.0000 -0.0544 -0.1137 -0.0196 2.7546 2.8537 2.7246
3190.0000 -0.0254 -0.0474 0.0084 2.8014 2.6944 2.7874
3200.0000 -0.0387 -0.1346 -0.1700 2.6318 2.7823 2.8367
3210.0000 -0.0145 -0.1510 0.0419 2.6160 2.6748 2.8383
3220.0000 0.1544 -0.1180 -0.1398 2.7429 2.7062 2.8391
3230.0000 0.0944 -0.1013 -0.1104 2.7423 2.7100 2.7142
3240.0000 0.0411 -0.1168 -0.1414 2.7916 2.7158 2.5678
3250.0000 -0.0849 -0.0402 -0.2516 2.6266 2.7958 2.6514
3260.0000 -0.0660 0.0452 -0.1751 2.6776 2.6628 2.7405
3270.0000 -0.1772 0.0558 0.0133 2.7362 2.6707 2.5425
3280.0000 -0.1026 0.1252 -0.0690 2.6165 2.6534 2.6209
3290.0000 -0.2145 0.0060 -0.0942 2.6575 2.7085 2.6867
3300.0000 -0.0998 -0.0753 -0.0583 2.5638 2.6611 2.7113
3310.0000 0.0978 -0.0461 0.1601 2.6147 2.9235 2.6520
3320.0000 0.0471 -0.0409 -0.0887 2.6822 2.7933 2.6019
3330.0000 -0.0713 -0.1928 0.0357 2.5604 2.6926 2.7340
3340.0000 -0.0581 -0.0466 0.0588 2.7040 2.7029 2.5287
3350.0000 -0.0861 -0.0587 0.2397 2.5295 2.9252 2.6131
3360.0000 -0.0075 -0.0709 0.0803 2.6310 2.7204 2.4379
3370.0000 -0.0447 -0.1786 -0.0816 2.6221 2.8100 2.6404
3380.0000 -0.1125 -0.2832 -0.0381 2.5764 2.9345 2.7754
3390.0000 -0.0527 -0.0461 0.1098 2.6791 2.8736 2.8774
3400.0000 -0.1703 0.0308 0.0900 2.4894 2.8149 2.7789
3410.0000 -0.3354 -0.1409 0.1255 2.5568 2.7900 2.6837
3420.0000 -0.1661 0.0248 0.0134 2.6711 2.9460 2.7112
3430.0000 -0.1930 0.1405 0.0204 2.9481 3.0145 2.7022
3440.0000 -0.0769 -0.0577 0.0505 2.6858 2.8552 2.7206
3450.0000 -0.1427 -0.0771 -0.1125 2.7831 2.9010 2.7711
3460.0000 -0.1757 -0.0129 -0.0094 2.6926 2.6933 2.8007
