time tau_xy tau_yz tau_xz sigma_xy sigma_yz sigma_xz
1970.0000 -0.0636 0.0747 0.2344 2.6672 2.7612 2.7504
1980.0000 -0.1718 -0.0378 0.1910 2.6856 2.9383 2.5629
1990.0000 -0.2351 0.0888 0.0633 2.7201 2.8253 2.7467
2000.0000 -0.2560 -0.0075 0.1179 2.8216 2.7882 2.7323
2010.0000 -0.0400 0.0793 0.1696 2.8742 2.9031 2.7934
2020.0000 -0.1031 -0.0215 0.1117 2.7864 2.9176 2.5899
2030.0000 -0.0157 -0.0649 0.1842 2.7740 2.7115 2.6706
2040.0000 -0.0885 -0.0527 0.0921 2.8729 2.8154 2.6268
2050.0000 -0.1076 -0.2454 0.0363 2.7072 2.7726 2.7168
2060.0000 -0.0342 -0.1512 0.0064 2.6654 2.6951 2.6573
2070.0000 -0.0494 -0.1388 -0.0528 2.7945 2.7238 2.8618
2080.0000 -0.0868 -0.0978 0.1954 2.7189 2.7083 2.7513
2090.0000 -0.0885 -0.1532 0.0879 2.7214 2.7086 2.8051
2100.0000 0.0051 -0.1512 0.1003 2.6216 2.7010 2.5775
2110.0000 -0.0817 -0.0288 0.1026 2.7379 2.6229 2.5953
2120.0000 -0.0942 -0.0638 0.2288 2.6400 2.6503 2.7037
2130.0000 -0.0252 -0.0157 0.1692 2.8621 2.6640 2.5787
2140.0000 0.0791 -0.0813 0.2146 2.7283 2.7494 2.5792
2150.0000 -0.0276 -0.0106 0.2112 2.6856 2.5710 2.6616
2160.0000 0.0615 -0.1360 0.2409 2.7328 2.7688 2.8086
2170.0000 -0.0546 -0.0910 0.2680 2.7470 2.7500 2.7605
2180.0000 -0.0713 0.0366 0.1045 2.8133 2.9036 2.7741
2190.0000 0.0013 0.1429 0.3252 2.8887 2.8863 2.9664
2200.0000 -0.0305 0.1235 0.1609 2.8538 2.8157 2.8572
2210.0000 0.2819 0.1633 0.1154 2.7266 2.6516 2.8623
2220.0000 0.2720 0.0723 0.0601 2.7537 2.6512 2.9639
2230.0000 -0.0412 0.1474 0.1636 2.7812 2.7587 2.9594
2240.0000 -0.0158 0.0433 0.2017 2.7532 2.7257 2.7794
2250.0000 -0.0258 0.1122 0.0102 2.6911 2.7917 2.7594
2260.0000 0.0065 0.1100 0.0233 2.6213 2.7012 2.9479
2270.0000 -0.1076 0.1341 0.0892 2.8350 2.8812 2.9175
2280.0000 -0.0035 0.0452 0.2357 2.8387 2.8710 3.0863
2290.0000 -0.1675 0.1492 0.2770 2.8709 2.8548 3.0007
2300.0000 -0.0945 0.0647 0.1781 2.9170 2.6005 2.8748
2310.0000 -0.1707 0.0485 0.2468 2.8379 2.8369 2.8866
2320.0000 -0.0687 0.0639 0.1269 2.9564 2.7685 2.8901
2330.0000 0.1359 0.0147 0.2607 3.0285 2.7423 2.9755
2340.0000 -0.0115 0.1054 0.2045 2.9321 2.6251 2.9276
2350.0000 -0.1182 0.0008 0.3063 2.6404 2.4637 2.7465
2360.0000 -0.0872 -0.0064 0.2888 2.8574 2.7334 2.8345
2370.0000 -0.1386 0.1185 0.2171 2.9991 2.7940 2.9487
2380.0000 -0.0995 0.1638 0.2921 2.9669 2.6568 2.8768
2390.0000 -0.0918 0.2406 0.2750 2.8603 2.5636 3.0005
2400.0000 -0.0457 0.1161 0.2173 2.8711 2.6938 2.8052
2410.0000 -0.0371 0.1201 0.1845 2.8283 2.7182 2.7575
